Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,21027
Base Time Seconds,1744929068
Base Time Fractional,.628364260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
124,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.057981040
125,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.061472680
126,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.064957340
127,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.068442140
128,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.071934760
129,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242171274,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.075420380
130,1.899488597701e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.078907900
131,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0002162799647,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.082399980
132,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.085886540
133,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.089373220
134,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.092870180
135,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.096356640
136,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.099837580
